Mu,Sigma,Sharpe,Beta,AAPL,BAC,CCL,CSGP,F,GIS,HAS,INTC,PFE,SNAP,T,XOM
12.78,41.17,0.31,0.82,9.75,0.52,3.02,6.82,0.95,9.85,29.41,17.19,6.11,1.71,4.54,10.13
13.27,44.97,0.3,0.87,11.02,0.32,7.78,21.35,3.06,8.49,25.25,6.71,4.66,1.05,7.62,2.68
12.55,40.95,0.31,0.88,7.94,0.31,3.62,16.13,6.62,8.2,12.04,16.78,20.79,0.18,1.06,6.31
13.17,42.37,0.31,0.85,21.48,0.53,3.15,24.65,0.08,21.62,4.25,7.83,6.74,3.0,5.84,0.84
13.1,44.03,0.3,0.85,9.67,1.78,3.76,9.01,0.85,0.17,45.4,8.47,4.13,2.87,5.92,7.96
13.0,39.59,0.33,0.85,38.03,4.13,0.31,4.17,3.97,9.84,13.26,3.43,8.59,2.74,7.97,3.56
12.51,41.28,0.3,0.82,25.16,1.22,0.33,5.75,1.46,15.19,22.29,3.31,17.6,5.11,0.64,1.93
12.54,41.04,0.31,0.85,13.16,0.08,1.71,7.67,9.34,1.64,19.32,12.25,14.21,0.69,0.12,19.82
13.34,38.59,0.35,0.75,2.23,1.32,1.32,13.19,4.24,18.53,34.0,5.14,3.43,0.35,5.29,10.96
12.96,43.43,0.3,0.83,21.73,1.22,2.81,19.8,1.84,4.11,9.88,0.17,2.9,2.51,10.54,22.49
12.95,42.21,0.31,0.8,8.91,0.63,1.15,19.39,0.61,22.88,22.47,10.04,0.61,3.74,4.67,4.91
13.22,41.72,0.32,0.92,1.9,3.05,3.97,41.82,0.99,2.62,3.14,3.63,33.56,0.26,4.01,1.05
12.92,42.81,0.3,0.77,10.2,1.51,5.1,0.29,0.1,15.79,54.4,3.52,3.13,3.81,1.64,0.51
12.89,42.37,0.3,0.98,27.18,16.92,3.18,24.77,1.09,2.35,2.5,7.13,3.94,0.76,4.82,5.36
13.56,42.12,0.32,0.89,27.73,1.16,0.97,18.96,9.27,0.35,12.22,2.41,7.6,1.17,5.1,13.06
12.89,41.24,0.31,0.87,38.83,1.34,5.8,3.45,6.48,3.65,6.49,4.72,4.37,0.17,17.64,7.05
12.61,38.54,0.33,0.72,5.46,0.53,1.55,6.19,5.32,11.03,32.6,1.19,0.82,0.35,31.1,3.86
12.83,43.06,0.3,0.91,28.31,5.16,3.47,15.32,6.34,11.71,8.79,8.52,1.76,2.03,7.2,1.38
12.96,39.85,0.33,0.86,24.68,5.0,2.86,0.22,1.97,6.22,28.63,13.5,9.44,1.28,4.53,1.68
12.67,41.35,0.31,0.86,26.97,0.77,1.77,7.42,4.48,5.34,14.07,7.74,16.39,2.61,4.59,7.86
12.52,38.45,0.33,0.79,30.07,0.79,4.11,0.54,0.13,11.54,1.67,11.03,4.48,0.23,13.2,22.21
12.6,40.74,0.31,0.79,12.38,0.05,3.37,15.75,0.26,6.85,9.65,7.8,0.5,0.48,29.27,13.63
13.11,36.63,0.36,0.81,25.86,1.9,0.32,3.19,3.43,2.49,21.38,2.8,18.66,0.37,19.52,0.07
13.14,42.98,0.31,0.87,34.68,0.51,6.54,14.04,4.31,2.81,4.96,0.96,2.37,0.63,21.69,6.5
12.6,42.32,0.3,0.84,4.28,8.17,4.49,20.58,2.23,5.44,21.48,2.0,6.94,0.36,10.06,13.96
12.51,42.01,0.3,0.86,8.34,7.9,1.69,17.33,3.48,9.37,19.61,11.22,2.56,1.62,5.81,11.08
12.52,38.44,0.33,0.83,12.28,15.82,0.64,5.57,2.7,12.95,34.64,3.66,2.4,1.11,5.69,2.53
14.22,39.25,0.36,0.88,24.22,7.16,1.3,18.97,0.73,2.79,25.84,0.77,13.87,0.37,0.28,3.7
12.67,38.15,0.33,0.86,38.21,9.96,2.41,1.94,3.36,7.25,10.48,0.43,14.13,1.0,10.51,0.32
13.51,40.99,0.33,0.84,25.85,2.37,4.06,17.56,4.13,12.98,9.85,2.21,0.85,0.31,10.06,9.78
16.03,41.24,0.39,0.96,42.47,0.53,0.81,40.21,1.72,2.3,4.43,0.39,2.2,0.34,2.62,2.0
13.68,41.05,0.33,0.83,1.17,0.88,2.18,19.08,4.7,0.94,41.24,3.6,14.68,0.36,4.77,6.39
12.9,41.79,0.31,0.86,4.22,10.49,3.69,26.14,1.16,6.36,17.9,2.34,6.2,0.04,5.37,16.1
13.7,44.21,0.31,0.92,17.63,2.92,2.41,33.0,8.67,9.11,11.8,2.18,2.1,1.59,2.61,5.99
